Building Name,Address,Broker,Broker Phone
360 Unit Multifamily Development Opportunity in Brooksville,"19200 Cortez Blvd, Brooksville, FL, 34601",Zach Steinberger,941-539-7253
St. Marks Marina,"28 Lynn Cir, Saint Marks, FL, 32355",Bryan Cureton,850-545-3687
ASBURY PARK,"9050 NE 8th Ave, Miami Shores, FL, 33138",jahaira vera,786-223-1942
7619 Abbott Ave,"7619 Abbott Ave, Miami Beach, FL, 33141",Luis Dominguez,305-302-8778
8655 12th Street,"8655 12th Street, Vero Beach, FL, 32966",Camille Kanner,No Phone Number Available
"29 Acre Site; 4 ac Commercial, 25 ac MF Res","37621 Eiland Blvd, Zephyrhills, FL, 33542","Steve Toner, MBA",813-391-0302
3 New Duplexes Portfolio Lehigh Acres FL,"5030 Locke Ln, Lehigh Acres, FL, 33973",Dan Lazar,754-366-7677
77219 HANCE PARKWAY Parkway N,"77219 HANCE PARKWAY Parkway N, Yulee, FL, 32097",Gay Browne,904-703-4265
Beach Trail Apartments,"1600 Beach Trail, Indian Rocks Beach, FL, 33785",Michael Daquino,631-872-3855
645 NE 4th Ave,"645 NE 4th ave,, Fort Lauderdale, FL, 33304",Adam Docktor,954-610-0440
SECOND AMD PLAT OF NORMAN,"8918 Collins Ave, Surfside, FL, 33154",Javier Martinez,305-546-3607
West Terry Multi-Family Community,"10150 W Terry St, Bonita Springs, FL, 34135",Rob Carroll,239-261-3400
Reditus 1 LLC,"251 SW 21st Way, Fort Lauderdale, FL, 33312",Daniel Munoz,305-409-6334
Midway & 25th,"2550 W Midway Rd, Fort Pierce, FL, 34981",Craig Mason,561-309-7223
West Vero Crossings,"8201 20th St, Vero Beach, FL, 32966",Jarrett Brock,561-684-1040
2080 Columbia Boulevard,"2080 Columbia Boulevard, Titusville, FL, 32780",GISSOU SHAHINFAR,321-693-1704
LAWRENCE ESTATE LAND CO,"1029 NW 3rd St, Miami, FL, 33128",Claudio Forgione,786-426-4396
24 Units Multifamily Portfolio,"2301 Atlantic Ave, Opa-Locka, FL, 33054",Vicente Rodriguez,305-510-6627
Jolly Roger Apartments,"145 116th Ave, Treasure Island, FL, 33706",Fatima Rapuano,727-742-2955
ONE AVENTURA EXECUTIVE CENTER,"20900 NE 30 TH Ave # 600, Aventura, FL, 33180",Fernando Levy Hara,305-917-7673
Downtown Tampa Mixed-Use Development Opportunity,"401 S Florida Ave, Tampa, FL, 33602",Matt Hall,813-538-6844
12-unit Licensed short-term rental portfolio. Fractured Deal,"19370 Collins Ave, PH, Sunny Isles Beach, Fl33160, Sunny Isles Beach, FL, 33160",Eugene Noska,954-822-0556
Magnolia Landing - Mixed Use Land - Concept Plan Approved,"E Orange Ave, Eustis, FL, 32726",Jason Seda,954-856-8794
The Palms on Ocean,"831 N Ocean Blvd, Pompano Beach, FL, 33062",Evan Kristol,954-245-3459
Bougainvilla Properties,"2307 Bay Blvd, Indian Rocks Beach, FL, 33785",Diane Swainston,727-688-8875
400 Sunny Isles Blvd # 2,"400 Sunny Isles Blvd # 2, Sunny Isles Beach, FL, 33160",Marina Zaslavskaya,305-613-1959
Multifamily - 8 Units,"1331 Sharazad Blvd, Opa-Locka, FL, 33054",Vicente Rodriguez,305-510-6627
ALTOS DEL MAR NO 4,"9165 Harding Ave, Surfside, FL, 33154",Joel Dominguez,786-413-5734
Miami Waterfront Site,"2110 NW 42nd Ave, Miami, FL, 33142",Nathan Rodriguez,786-278-0511
FRANK C DICKEY,"1815 Mckinley St, Hollywood, FL, 33020",David Benichou,646-705-9980
TATUM RIDGEDALE ADDN,"175 NE 9th St, Homestead, FL, 33030",Cary Quinn,786-546-4969
Mulberry Self Storage,"500 N 39th St, Fort Pierce, FL, 34947",Larysa Torkaman,561-909-9575
402 Appelrouth,"402 Appelrouth Ln, Key West, FL, 33040",WENDY SMITH,727-452-3301
8.01± Acres Site | Massee Rd & Lionel Way | Davenport,"410 Lionel Way, Davenport, FL, 33837",David Calcanis,407-421-2311
PROGRESSO RESUB,"425 NE 8th St, Fort Lauderdale, FL, 33304",Tanecia Buckner LLC,813-753-1492
1110 Brickell Ave # 710A,"1110 Brickell Ave # 710A, Miami, FL, 33131",Lina Barcelo,305-968-5462
NORTH HOLLYWOOD,"1901 Johnson St, Hollywood, FL, 33020",Brandon Talalaevsky,786-859-2628
Land Fort Myers - Approved Residential Multifamily,"2773 Ortiz Ave, Fort Myers, FL, 33916",Dan Lazar,754-366-7677
"Portfolio of 34 Individual Units In Panama City Beach, FL","9860 S Thomas Dr, Panama City Beach, FL, 32408",Mihail Stoyanov,239-298-6311
N Shade Ave,"N Shade Ave, Sarasota, FL, 34237","Leon Delieto, Sr. P.A.",941-321-5803
Development Opportunity On 6.8 Acres Overlooking Bayou,"104 George Ellis Point Rd, Freeport, FL, 32439",Leslie Miller,850-499-4162
PROSPECT GARDENS,"349 NW 40th St, Oakland Park, FL, 33309",Debora Cohen,305-244-4999
CITY OF MIAMI SOUTH,"325 NW 7th Ave, Miami, FL, 33128",Teresita Gyori,305-854-3258
542-544 NW 35 St Wynwood Norte Opportunity,"542 NW 35th St, Miami, FL, 33127",Jorge L Ramirez,786-277-9863
613 N Halifax Avenue,"613 N Halifax Avenue, Daytona Beach, FL, 32118",Patrick Sullivan,386-233-5900
432 NE 26th St,"432 NE 26th St, Miami, FL, 33137",Nelson Varona,786-402-7295
The Pineapple Estate,"1621 Pineapple Ave, Melbourne, FL, 32935",David Settgast,321-543-1187
Singer Island - 6 Property Assemblage,"1236 Beach Rd, Riviera Beach, FL, 33404",Rhys Hollyman,No Phone Number Available
Car Dealership,"0000 E 8th Ave, Hialeah, FL, 33013",Marcelo Malvicino,305-479-4452
Herbshire,"1525 Euclid Ave # 0, Miami Beach, FL, 33139",Valerio Spinaci,No Phone Number Available
52 Unit RV Park TURNKEY,"11050 Co Rd 512, Fellsmere, FL, 32948",Frederick Bertel,321-961-1559
Beck's Lake Fish Camp,"2020 Becks Lake Rd, Cantonment, FL, 32533",Marie Hansen,850-832-0022
6815 S Highway A1a,"6815 S Highway A1a, Melbourne Beach, FL, 32951",Jennifer Brooks,No Phone Number Available
35 Antilla Ave,"35 Antilla Ave, Coral Gables, FL, 33134",Charbel Abud,305-551-0407
Prime Location Luxurious Event Venue and Plant Nursery,"4680 Volunteer Rd, Southwest Ranches, FL, 33330",Georgina Rodriguez,786-942-1717
Deltona Village,"939 Hollywood Blvd, Deltona, FL, 32725",Jerry Robson,440-823-3746
Uptown Portfolio,"1400 7th Ave N, St. Petersburg, FL, 33705",James Few,813-868-8033
1830 S Clyde Morris Boulevard,"1830 S Clyde Morris Boulevard, Daytona Beach, FL, 32119",Sean Sedita,386-383-6376
Winter Haven Portfolio,"418 19th St SE, Winter Haven, FL, 33884",James Few,813-868-8033
Riverwood Village,"480 Reed Canal Rd, South Daytona, FL, 32119",Brock Bolduc,386-690-1447
7500 NE 6th Ct,"7500 NE 6th Ct, Florida City, FL, 33138",Laura Veitia,786-686-0854
TUTTLES SUB,"10500 Biscayne Blvd, Miami Shores, FL, 33138",Martine Lewis,305-389-4161
TORTOISE CAY,"327 Wilson Avenue, Cocoa Beach, FL, 32931",James Edmunds,321-349-5068
3237 SW 4th St,"3237 SW 4th St, Miami, FL, 33135",Elisa Barriga Alfaro,561-779-2177
Beltrees,"885 Beltrees St, Dunedin, FL, 34698",Katelyn Robideaux,215-896-5190
50 Biscayne,"50 E Biscayne Blvd, Miami, FL, 33132",Ali Karan PLLC,305-527-9956
0000 Highway A1a,"0000 Highway A1a, Melbourne Beach, FL, 32951",William Taylor,No Phone Number Available
15 Single family house,"27527 Coral Springs Drive, Wesley Chapel, FL, 33544",Lana Pang,813-898-3982
Site Plan Approved 720 units,"Undisclo, Kissimmee, FL, 34741",Simon Elbaz,347-299-0566
South Beach 31-Unit Apartment Building,"1770 Meridian Avenue, Miami Beach, FL, 33139, Miami Beach, FL, 33139",Susan Gale,No Phone Number Available
1895 NW 35th St,"1895 NW 35th St, Miami, FL, 33142",Javier Gomez,786-273-6643
PADGETT & JOHNSON,"319 NE 2nd ST, Hallandale Beach, FL, 33009",Eliana Chedrese,305-497-3330
Kingsway Apartments,"6156 N Diadem Point, Beverly Hills, FL, 34465",Keith Pullias,352-613-6276
20690 NW 27th Avenue,"20690 NW 27th Avenue, Miami Gardens, FL, 33056",Patricia Dillard,786-367-0508
HOLLYWOOD LAKES SECTION,"956 Hollywood Boulevard, Hollywood, FL, 33019",Tatiana Domovsky,305-302-3212
6001 W Flagler St,"6001 W Flagler St, Miami, FL, 33144",Kenny Silva,786-972-9978
RICHMOND HEIGHTS ESTATES,"11440 Lincoln Blvd, Miami, FL, 33176",Rafael Avenia,786-512-9262
Lake LaBelle Villas,"8050 Cedarwood Pkwy, La Belle, FL, 33935",Zack Statlander,561-702-2015
Portfolio of 21 Beach Condos in The Same Building,"9902 S Thomas Drive, Panama City Beac, FL, 32408",Mihail Stoyanov,239-298-6311
"9229 Fort King Rd, Dade City, FL 33525","9229 Fort King Rd, Dade City, FL, 33525",Lisa Tackus,813-563-5995
OneAventura,"20900 NE 30th Ave # 415, Aventura, FL, 33180",Abraham Weintraub,305-466-4243
HOLLYWOOD BEACH,"335 Georgia St, Hollywood, FL, 33019",Sergey Alenin,917-497-3320
Mid Rise Developement 90 Units Site Plans Approved,"22165 SW 112th Ave, Miami, FL, 33170",Nathan Rodriguez,786-278-0511
330 - 340 Madeira Ave,"330 - 340 Madeira Ave, Coral Gables, FL, 33134",Landy Toledo,No Phone Number Available
"1256 5th Street, 1259-1271 4th Street","1256 5th St, Sarasota, FL, 34236",John Harshman,941-951-2002
21 PALMS RESORT MHP ON LAKE JULIANNA,"584 FL-559, Auburndale, FL, 33823",Scott Taylor,407-256-0123
1770 Meridian Ave,"1770 Meridian Ave, Miami Beach, FL, 33139",Susan Gale,No Phone Number Available
960 Jefferson Ave,"960 Jefferson Ave, Miami Beach, FL, 33139",Laura Veitia,786-686-0854
CITY OF MIAMI SOUTH,"364 SW 11th St, Miami, FL, 33130",Yeda Rojo,786-853-0124
