Building Name,Address,Broker,Broker Phone
64 Unit Apartment Redevelopment Site,"340 N Boston Ave, DeLand, FL, 32724",N. Joe LaFleur,407-495-1728
TILE AND PLUMBING,"535 NW 42nd Ave, Miami, FL, 33126",George Smith,305-359-6119
Pizza,"2 S Atlantic avenue, Daytona Beach, FL, 32118",Terry Sitaram,386-237-4444
Wholesale and Retail E-Commerce. Boutique Clothing Line.,"Undisclosed, Miami, FL, 33031",Brian Zoberg,305-301-2443
Digital Nomad Opportunity. Home Based. Upscale Clothing.,"Undisclosed, Miami, FL, 33131",Brian Zoberg,305-301-2443
COMISKEY PARK,"3911 SW 51st St, Dania Beach, FL, 33312",Gil Grafi,305-349-3315
Rocking L Ranch,"6767 Palae Ln, Cocoa, FL, 32926",Luiz Santos,321-412-3363
Turnkey Hair Salon,"2186 Park Ave, Orange Park, FL, 32073",Stephen Nebrat,904-477-1017
Sandhill Gardens,"24600 Sandhill Blvd, Punta Gorda, FL, 33983",Edward Blackburn,239-777-7020
San Marco Apartments at 817 Cedar Street,"817 Cedar St, Jacksonville, FL, 32207",Matthew Adams,904-466-6539
GIUSEPPE’S CAFE,"67 S Federal Hwy, Boca Raton, FL, 33432",Ana Armua,954-225-2979
The Daley Trade - 330 S Washington Ave,"330 S Washington Ave, Titusville, FL, 32796",J. Blake Robison,321-722-0707
4919 Coronado Pkwy Cape Coral Fl 33904,"4919 Coronado Pkwy, Cape Coral, FL, 33904",MARK VANCOSKY,239-402-5219
THE DISTRICT,"2561 McNeil Rd, Fort Pierce, FL, 34981",Craig Mason,561-309-7223
Bow to Stern Upholstery LLC,"325 E Merritt Island Cswy, Merritt Island, FL, 32952",Luiz Santos,321-412-3363
BEL AIRE SEC 3,"9985 Marlin Rd, Cutler Bay, FL, 33157",Alessandro Lima,305-281-4469
Cape Coral Lake Kennedy,"611 SW 3 TE, Cape Coral, FL, 33991",Don Elliott,305-332-1220
cape coral,"617 SE 7 ST, Cape Coral, FL, 33990",Don Elliott,305-332-1220
4300 Biscayne Blvd # G05,"4300 Biscayne Blvd # G05, Miami, FL, 33137",Fernando Garcia,305-299-4041
cape coral,"508 SE 7 ST, Cape Coral, FL, 33990",Don Elliott,305-332-1220
Cleveland Ave Restaurant,"2847 Cleveland Ave, Fort Myers, FL, 33901",MARK VANCOSKY,239-402-5219
819 Dr. Mary Mcleod Bethune Blvd.,"819 Dr Mary McLeod Bethune Blvd, Daytona Beach, FL, 32114",Kayden Schaper,386-262-5079
Fort Lauderdale Duplex for Annual or Seasonal Rentals,"909 NE 18th St, Fort Lauderdale, FL, 33305",George Coloney,954-801-7320
"Eco-Friendly Organic Cleaning Franchise – St. Petersburg, FL","175 5th St N, St., St. Petersburg, FL, 33701",Skylar Adams,813-280-5468
Bonita Beach Rd- Restaurant Business For Sale,"4185 Bonita Beach Rd SW, Bonita Springs, FL, 34134",MARK VANCOSKY,239-402-5219
WEST HARLEM,"744 NW 5th Ct, Hallandale Beach, FL, 33009",Anthony Askowitz,305-807-9079
"741 NW 3 AVE, FORT LAUDERDALE","741 NW 3rd Ave, Fort Lauderdale, FL, 33311",Ramin Dan,917-349-0080
Fully Renovated Turnkey Furnished Duplex,"974 Tennessee Ln, Sarasota, FL, 34234",Jason D'Agostino,941-685-1228
Dida's Pizza,"827 S 21st Ave, Hollywood, FL, 33020",Jorge Espino MSIRE,305-335-0518
"Vegan Ice Cream, Sugar-Free & Gluten-Free Bakery","1380 SW 160th Ave, Weston, FL, 33326",Ana Serrat,754-302-0055
SEMINOLE FOREST,"1210 NW 2nd St, Fort Lauderdale, FL, 33311",Johnathan Ibarra-Blackmoon,646-241-9551
"Restaurant for Sale in Fort Myers, Florida","NDA is required before Disclosure, Fort Myers, FL, 33903",Brent Pleeter,239-744-6893
5100 N 9th Ave,"5100 N 9th Ave, Pensacola, FL, 32504",Darina Ivanova,850-790-8917
5100 N 9th Ave,"5100 N 9th Ave, Pensacola, FL, 32504",Darina Ivanova,850-790-8917
Functional Medicine & Acupuncture Practice,"5656 Isabelle Ave Ste. 6, Port Orange, FL, 32127",Andrew Max,386-538-6666
Ivy,"90 SW 3rd St # 7, Miami, FL, 33130",Ricardo Du Pond,305-588-7187
Italian Pizza,"515 N Atlantic Ave, Daytona Beach, FL, 32118",Terry Sitaram,386-237-4444
Restaurant Lounge For Sale,"269 SW Port St Lucie Blvd, Port St. Lucie, FL, 34984",Stephen Peregoy,No Phone Number Available
"1560 NE 45 th street, Oakland Park, FL","1560 ne 45th Street, Oakland Park, 33334","Paul Lepine, CCIM",954-540-2076
C-1 Zoned Property for Investment Potential,"1115 E Cross St, Pensacola, FL, 32503",Robert Bell,850-434-3434
"709 HOFFMAN Boulevard, Tampa, FL 33612","709 Hoffman Blvd, Tampa, FL, 33612",Stavros Adonis Mallios,904-348-0109
Popular Breakfast Spot in Pompano Beach,"2335 NE 5th Ave, Pompano Beach, FL, 33064",Julie Negovan,215-431-9295
"1200 NW 9th Street, Fort Lauderdale, FL 33311","1200 NW 9th Street, Fort Lauderdale, FL, 33311",sean malki,954-804-8208
Utamaro sushi bar Punta Gorda,"615 Cross St, Punta Gorda, FL, 33950","Thao Le, CCIM & CBI",352-586-3666
"Beauty Salon & Spa - Coral Gables, FL","1507 SW 37th Ave, Miami, FL, 33134",michelle gonzalez,305-582-4352
Fort Pierce Gas Station,"2475 W Midway Rd, Fort Pierce, FL, 34981",Mohanad Rifaie,813-777-1854
Commercially Zoned Property with High Visibility,"1304 US-90, DeFuniak Springs, FL, 32433",Robert Bell,850-434-3434
LILYS MARKET,"1780 SE Port St Lucie Blvd, Port St. Lucie, FL, 34952",Omar Alonso,561-685-3796
Duplex 312 Camilla,"312 Camillia, Port Charlotte, FL, 33954",Brian Mcbride,813-493-0507
Duplex 304 Camilla,"304 Camillia, Port Charlotte, FL, 33954",Brian Mcbride,813-493-0507
Triplex 46th,"6709 46th Ave, Bradenton, FL, 34210",Brian Mcbride,813-493-0507
Triplex Santurce,"205 Santurce, North Port, FL, 34287",Brian Mcbride,813-493-0507
Spring Hill (Retail/Commercial),"11225 County Line Rd, Spring Hill, FL, 34609",Bryan Coughlin,850-434-7500
145 E Michigan Avenue,"145 E Michigan Avenue, Orange City, FL, 32763",Jeanette Parker,703-473-6699
Imperial - New Construction,"29 Pine Trce, Ocala, FL, 34472",Khemraj Sarju,305-417-8997
Premier - New Construction,"6613 SW 149th Lane Rd, Ocala, FL, 34473",Khemraj Sarju,305-417-8997
Classic - New Construction,"2970 SW 162nd Street Rd, Ocala, FL, 34473",Khemraj Sarju,305-417-8997
Floridian - New Construction SFR,"48 Malauka Dr, Ocklawaha, FL, 32179",Khemraj Sarju,305-417-8997
NORTH HOLLYWOOD,"2003-2005 Harding St, Hollywood, FL, 33020",John DeMarco,954-453-1000
Windsor Park Professional Center Office Condo,"4745 Sutton Park Ct, Jacksonville, FL, 32224",Amanda Kinkade,904-801-3885
1425 CLEVELAND Street,"1425 CLEVELAND Street, Jacksonville, FL, 32209",JARED JONES,No Phone Number Available
Profitable Turnkey Restaurant Franchise with Prime Location!,"Jacksonville, FL, Jacksonville, FL, 32250",Alexandra Florez,904-885-3077
Functional Medicine & Acupuncture Practice,"5656 Isabelle Ave Ste. 6, Port Orange, FL, 32127",Andrew Max,386-538-6666
308 Adeline Street,"308 Adeline Street, Daytona Beach, FL, 32114",Beau Warren,386-589-5754
K St Apartments,"920 S K St, Lake Worth Beach, FL, 33460",Evan Richardson,954-245-3501
Essentials Spa Massage and Facials,"555 NE 5th Ave, Delray Beach, FL, 33483",Scott Steel Ginsberg,561-900-5006
Windsor Park Professional Center Office Condo,"4745 Sutton Park Ct, Jacksonville, FL, 32224",Amanda Kinkade,904-801-3885
2307 GILMORE Street,"2307 GILMORE Street, Jacksonville, FL, 32204",Steven McAdoo,904-574-7400
19 Tenants Approved Room & Boarding House,"201 Withheld Address, Leesburg, FL, 34748",Sunny Gandhi,407-395-4422
"Ice Cream Store in Key West, Florida","First St, Key West, FL, 33040",Michael Mahan,239-230-2189
7056 David Blvd,"7056 David Blvd, Port Charlotte, FL, 33981",Michael Price,239-333-4372
"Daytona Beach Short Term Rental Portfolio, 6 condos","2043 S Atlantic Ave, Daytona Beach, FL, 32118",Andy Tolbert,407-260-8800
2317 N. Cocoa Blvd,"2317 N Cocoa Blvd, Cocoa, FL, 32922","Dan Quattrocchi, GRI, ALHS",321-720-1822
Prime East Hill - 5 Units plus garage. Zoned up to 8 units.,"1224 E Strong St, Pensacola, FL, 32501",Matt Jones,850-490-1290
Scenic View IV,"5225 Taylor Rd, Punta Gorda, FL, 33950",Thomas Klein,847-812-7656
14437 Starkey Road,"14437 Starkey Road, Delray Beach, FL, 33446",Denise Leyendecker,561-371-4228
TARPON RIVER 3-UNIT,"639 SW 5th Ave, Fort Lauderdale, FL, 33315",Heidi Braunhardt,954-826-1467
MAYFAIR SUB,"1410 Altaloma Ave, Orlando, FL, 32803",Kenny Ramos,855-572-6670
Established Chiropractic Medical Practice For Sale,"Established Chiropractic Medical Practice For Sale, Miami, FL, 33196",Antonio Cristobal,786-457-3211
Belle Haven,"601 Quay Commons, Sarasota, FL, 34236","Lee Delieto Jr., P.A.",941-957-3730
University Heights North Duplex,"1016 NW 4th Ave, Gainesville, FL, 32601",Jenny Highlander,352-514-6793
1650 BOULDER Street,"1650 BOULDER Street, Jacksonville, FL, 32207",Douglas Addeo,561-852-1341
2915 SYDNEY Street,"2915 SYDNEY Street, Jacksonville, FL, 32205",ALEXANDER NORKUS,No Phone Number Available
Bigfoot Leveling Systems of Florida - RV Leveling Business,"4308 Wallace Rd, Lakeland, FL, 33812",James Bailey,727-809-3038
2630/2650 Blocker Church Road,"2630/2650 Blocker Church Road, Chipley, FL, 32428",William Best,850-867-3899
Tractor Repair,"26208 Co Rd 49, O'Brien, FL, 32071",Todd Shealy,850-838-6749
LEHIGH ACRES,"927-929 EISENHOWER BLVD, Lehigh Acres, FL, 33974",Cristian Henriquez,239-877-8749
26253 & 26263 NADIR RD,"26253 & 26263 Nadir Rd, Punta Gorda, FL, 33983",Sabrina Randazzo,914-879-1293
Residential and Commercial,"17873 FL-40, Silver Springs, FL, 34488",Veronica Jauregui,352-355-5739
2740 OAK Street,"2740 OAK Street, Jacksonville, FL, 32205",Shelby Dorsey,904-588-2195
TAMIAMI HIGHLANDS,"5629 SW 7th St, Miami, FL, 33134",Joanne Jervis,305-244-8429
SANTA CLARA SUB,"1144 NW 30th St, Miami, FL, 33127",Dax Londono,786-626-8695
PARK HILL,"214 SW 1st Ct, Dania Beach, FL, 33004",Sonya Hickman,954-658-3925
BUENA VISTA GARDENS,"5511 NW 5th Ct, Miami, FL, 33127",Adi Gal,305-409-1305
CORAM GARDENS,"2435 SW 42nd Ave, Fort Lauderdale, FL, 33317",Juana Drago,754-246-7777
WINONA PARK,"261 NW 62nd Ct, Miami, FL, 33126",Michael Arias,786-420-3711
OJUS SUB,"2530 NE 181st St, North Miami Beach, FL, 33160",Jonathan Lief,305-586-2207
GLENHAVEN,"2917 NW 23rd Ave, Miami, FL, 33142",Mayelin Ortega Gonzalez,786-781-3118
2674 MYRA Street,"2674 MYRA Street, Jacksonville, FL, 32204",Thomas Love,904-382-7695
CARVER PARK,"715 NW 15th Ter, Fort Lauderdale, FL, 33311",Carla Martinez,786-999-9692
WEST HARLEM,"756 NW 5th St, Hallandale Beach, FL, 33009",Cesar Linares,954-969-9221
KENWOOD SUB,"1780 NW 15th St, Miami, FL, 33125",Terell Killings,305-336-0075
12231 SW 132nd Ct # 14,"12231 SW 132nd Ct # 14, Miami, FL, 33186",Eduardo Herbut,305-200-7635
13022 SW 133rd Ct # 12,"13022 SW 133rd Ct # 12, Miami, FL, 33186",Denisse Sturla Cardenas,305-890-4073
LEHIGH ACRES,"1510 E 12 ST, Lehigh Acres, FL, 33974",Suresh Chiatar,954-294-4539
Largo lake apartments,"185 Fulton St NE, Largo, FL, 33771",Evan Perrett,727-301-8042
THE DISTRICT,"2561 McNeil Rd, Fort Pierce, FL, 34981",Craig Mason,561-309-7223
2639 Lantana Lane,"2639 Lantana Ln, Lakeland, FL, 33801",Milton De La Cruz,863-899-6030
PATKAY SUB,"1510 NE 136th St, North Miami, FL, 33161",Frantz Laurent,954-588-8969
HOLLYWOOD PARK,"2416 Sherman St, Hollywood, FL, 33020",Jordaniel Nunez,305-713-8123
PALM GARDEN PARK,"6622 SW 48th St, Davie, FL, 33314",Denise Ireland-Miller,954-401-4632
PRAMAR,"170 NE 68th Ter, Miami, FL, 33138",Maria Candelaria Barrera,786-520-7827
WASHINGTON PARK FOURTH AD,"2615 NW 13th Ct, Fort Lauderdale, FL, 33311",Shani Ackerman,786-613-2474
ST JAMES PARK WEST ADD,"1311 N 19th Ave, Hollywood, FL, 33020",Dylan Vega,305-332-8854
1832 Lakeview Point Rd,"1832 Lakeview Point Rd, Quincy, FL, 32351",Bert Pope,850-933-2378
439 E 7TH Street,"439 E 7TH Street, Jacksonville, FL, 32206",CRISSIE CUDD,No Phone Number Available
SUB 19-44-43,"3883 Edwards Ave, Palm Springs, FL, 33461",Horace Prince,954-240-8062
2317 N Cocoa Boulevard,"2317 N Cocoa Boulevard, Cocoa, FL, 32922","Dan Quattrocchi, GRI, ALHS",321-720-1822
RIVERSIDE PARK,"1905 SW 11th St, Fort Lauderdale, FL, 33312",Christopher Lazaro,305-859-4733
NORTHWOOD ADD,"618 30th St, West Palm Beach, FL, 33407",Pilar Lesmes,786-202-5354
BELLCAMP MANOR,"8290 NW 5th Ave, Miami, FL, 33150",James Baker,954-479-7773
Devonaire Commerce Center 1,"12438 SW 128th St # 5, Miami, FL, 33186",John Duran,786-253-2995
2803 MARKET Street,"2803 MARKET Street, Jacksonville, FL, 32206",Brenda Moss,850-566-1658
Cape Coral Subdivision,"4960 Vincennes Street, Cape Coral, FL, 33904",Kimberly Dennard,954-821-9288
1051 June Terrace,"1051 June Terrace, Daytona Beach, FL, 32119",Matthew Fischer,No Phone Number Available
Anastasia Apartments,"400 Anastasia Blvd, St. Augustine, FL, 32080",Luke McCann,904-422-4549
MC CALL PARK,"1400 NW 55th St, Miami, FL, 33142",Marc Salvat,786-547-1297
MAC ARTHUR HOMESITES,"1231 NW 9th Avenue, Florida City, FL, 33034",Mohammed Chraibi,305-850-4624
HOLLYWOOD LAKES,"1711 Buchanan St, Hollywood, FL, 33020",Elior Levi,954-743-7594
Port Charlotte Sec13-40-21,"2121 Como St, Other City - In The State Of Florida, FL, 33948",Janaica Vilchez,305-632-2752
AVOCADO PARK,"2400 NW 82nd St, Miami, FL, 33147",Yamirka Garcia,407-487-0740
West Lehigh,"4530 29th St SW, Lehigh Acres, FL, 33973",Raul Leyva,239-634-1198
1000 Vernon St,"1000 Vernon St, Pensacola, FL, 32504",Maria White,404-431-2602
Sea Grove Resort,"427 Sea Grv Wy, Port St. Joe, FL, 32456",Svetlana Spielberg,786-310-9717
611 Ora Street,"611 Ora Street, Daytona Beach, FL, 32118",Navin Khemlani,386-405-0193
2219 PINE PLACE Place,"2219 PINE PLACE Place, Neptune Beach, FL, 32266",maria pappas,904-449-4942
HOT DEAL ALERT on International Drive!,"7342 International Dr, Orlando, FL, 32819",Carolina Habash,407-227-8528
HOLLYWOOD SOUTH SIDE ADD,"1936 Washington St, Hollywood, FL, 33020",Chase Curson,786-304-8062
250 NW 23rd St # 203,"250 NW 23rd St # 203, Miami, FL, 33127",Camillo Dominicis,305-674-9714
HOLLYWOOD TERRACE,"2454 Garfield St, Hollywood, FL, 33020",Karen Gomez,305-298-5991
Oak Hammock Preserve,"3483 SE 37th Ct, Ocala, FL, 34480",Nichole Roberts,352-239-2485
LAWRENCE EST LAND CO,"408 NW 11th Ave, Miami, FL, 33128",Nicolas Jodin,No Phone Number Available
TREASURE HEIGHTS,"4315 NW 24th Ave, Miami, FL, 33142",Rene Risco,786-348-4797
Restaurant Business on Bruce B Downs & County Line,"Bruce B Downs & County Line Rd, Wesley Chapel, FL, 33647",Xenia Pino,786-564-0501
325 N Orlando Avenue,"325 N Orlando Avenue, Cocoa Beach, FL, 32931",Eric Larkin,No Phone Number Available
HOLLEMAN MANOR ADDN,"1807 NW 33rd St, Miami, FL, 33142",Piermassimo Picchiura,305-331-1119
1638 IONIA Street,"1638 IONIA Street, Jacksonville, FL, 32206",Herve Barbera,No Phone Number Available
JAY BOB SUB PART NO 2,"4731 NW 6th St, Miami, FL, 33126",Madelyn Andrade,786-624-7335
WINONA PARK 1ST ADDN,"7501 NW 2nd Ter, Miami, FL, 33126",Jason Welt,No Phone Number Available
GREENACRES 2,"457 Jennings Ave, Green Acres, FL, 33463",Anabel Rodriguez,561-452-8675
TWELFTH ST MANORS 1ST ADD,"21 NW 32 COURT, Miami, FL, 33125",Francisco Rivera,305-301-5720
lehigh acres,"4632 15 st sw, Lehigh Acres, FL, 33973",Juniel Verdecia,305-343-2100
1216-1218 LUGAR Street,"1216-1218 LUGAR Street, Jacksonville, FL, 32211",sam vinson,904-504-6719
EARLINGTON HEIGHTS,"2126 NW 47th Ter, Miami, FL, 33142",Juan Yeje,786-556-7486
BISCAYNE PARK DUPLEX,"12055 NE 9th Ave, Biscayne Park, FL, 33161",Eliu Dreszer,305-794-1535
1529 N PEARL Street,"1529 N PEARL Street, Jacksonville, FL, 32206",Beth King,No Phone Number Available
COURVOISIER COURTS,"701 Brickell Key Blvd # 1, Miami, FL, 33131",Mercedes Toruno,305-389-1047
7436 IMPALA Lane,"7436 IMPALA Lane, Jacksonville, FL, 32244",Tobin Bossola,904-910-8084
HIALEAH 13TH ADDN AMD PL,"991 E 21st St, Hialeah, FL, 33013",Antonio Saladrigas,786-378-1850
BETTY LU HOMESITES,"516 SW 9th Ave, Homestead, FL, 33030",Sam Mekras,786-671-0154
HOLLEMAN MANOR ADDN,"1945 NW 33rd St, Miami, FL, 33142",Andres Barros,786-239-8223
RIVERSIDE PARK ADD AMEN P,"1713 SW 11th Ct, Fort Lauderdale, FL, 33312",Christopher Lazaro,305-859-4733
1070 HURON Street,"1070 HURON Street, Jacksonville, FL, 32254",CHANESHIA JONES,No Phone Number Available
MELROSE MANOR,"542 SW 27th Ter, Fort Lauderdale, FL, 33312",Johan Duque,305-810-9920
15633 FL-121,"15633 FL-121, Raiford, FL, 32083",Brenda Thornton,904-364-8266
AURORA,"217 NW 12th Ct, Florida City, FL, 33034",Felipe Koscky,954-849-9897
4487 Westroads Dr,"4487 Westroads Dr, West Palm Beach, FL, 33407","Stephanie Gagnon, PA",561-252-3356
NORTH HOLLYWOOD,"1219 N 20th Ave, Hollywood, FL, 33020",Giovanna Troullier,305-332-4167
145 GASSETT Road,"145 GASSETT Road, St Augustine, FL, 32080",JAMES BROWN,No Phone Number Available
ACME GULFAIR,"10271 NW 25th Ave, Miami, FL, 33147",Joshua Cadillac,954-608-0931
HARWOOD 2ND ADDN TO RIVER,"460 NW 23rd Ct, Miami, FL, 33125",William Alvarez,305-775-9186
VICTORY HEIGHTS,"337 Phippen Waiters Rd, Dania Beach, FL, 33004",Salima Mohammed,954-274-5250
TAFT VILLAS,"1737 N 16th Ct, Hollywood, FL, 33020",Alejandro Bruno,954-673-7739
2 Acres for 18 Unit Mf Res Dev't (Res-9),"Dean Dairy Rd, Zephyrhills, FL, 33541",Neil Khant,813-390-6082
Shula Vista,"2784 SW 14th St, Fort Lauderdale, FL, 33312",Liz Cardona,754-423-1077
1434 BERNITA Street,"1434 BERNITA Street, Jacksonville, FL, 32211",ALEKSANDR APARNEV,No Phone Number Available
MELROSE HEIGHTS 3RD ADDN,"2775 NW 31st St, Miami, FL, 33142",Yaacov Poston,305-467-8767
Lee County Unincorporated,"177/179 Pennfield Street, Lehigh Acres, FL, 33974",Gabriel Eguez,123-956-0605
122 Ullian Trail,"122 Ullian Trail, Palm Coast, FL, 32164",Lisa Giacona,No Phone Number Available
IRENE PARK,"124 NW 12th Dr, Belle Glade, FL, 33430",Jamil Smith,786-384-1235
ACME GULFAIR 2ND ADDN,"10345 NW 30th Ct, Miami, FL, 33147",Cosette Alves,305-766-1879
DANKWARDTS SUB,"2177 NW 27th St, Miami, FL, 33142",Juan Cortes,786-329-5503
1299 E Oakland Park Blvd,"1299 E Oakland Park Blvd, Oakland Park, FL, 33334",Richard DeGirolamo,215-680-2266
Lee County Unincorporated,"3009/3011 S GORDON AVE, Lehigh Acres, FL, 33973",Gabriel Eguez,123-956-0605
SEBASTIAN HIGHLANDS UNIT,"160 Empress Ave, Sebastian, FL, 32958",Jonathan Starratt,No Phone Number Available
PARADISE MANOR,"105 SW 5th Ct, Dania Beach, FL, 33004",Joe Brikman,929-842-3080
2234 FORBES Street,"2234 FORBES Street, Jacksonville, FL, 32204",ELIZABETH MCGOVERN,No Phone Number Available
BUNCHVILLE,"22112 SW 115th Ct, Miami, FL, 33170",Maria Ester Leiva,305-794-7459
HOLLYWOOD PARK,"2546 Coolidge St, Hollywood, FL, 33020",Serge Saintil,305-890-8234
LINCOLN PARK THIRD ADD,"817 NW 12th ave, Fort Lauderdale, FL, 33311",Carlos Sanchez,786-443-1226
130 Boynton Boulevard,"130 Boynton Boulevard, Daytona Beach, FL, 32118",Gina Spillone,No Phone Number Available
BOWLING GREEN,"5241 NW 11th Ave, Miami, FL, 33127",Luz Olarte,754-423-4600
Deerfield Beach Duplex,"1426 SE 3rd Terrace, Deerfield Beach, FL, 33441",Carlos Montoya,954-234-7653
1202 Ridgewood Avenue,"1202 Ridgewood Avenue, Holly Hill, FL, 32117",Rodolphe Brun,386-235-0670
HOLLYWOOD BEACH GARDENS,"412 Columbus Pkwy, Hollywood, FL, 33021",Alana Mujica,786-823-1688
4050 4052 GRANT Road,"4050 4052 GRANT Road, Jacksonville, FL, 32207",Megan Aycock,904-907-4449
WASHINGTON PARK,"578 NW 12th St, Florida City, FL, 33034",Valentina Verdia,954-817-9381
BUCKEYE PARK,"4477 NW 23rd Ave, Miami, FL, 33142",Sherry Lebowitz,No Phone Number Available
Indian River Motor Haus 2.0 Unit D5,"2330 41st St, Vero Beach, FL, 32967",Christine Gelman,561-723-4545
PINEWOOD PARK EXTENSION,"781 NW 108th St, Miami, FL, 33168",Karen Castrillo,305-804-9126
PROGRESSO,"732 NW 2nd Ave, Fort Lauderdale, FL, 33311",Avinash Jagasia,786-690-4270
158 Empress Avenue,"158 Empress Avenue, Sebastian, FL, 32958",Jonathan Krauser,321-626-0015
Pizza Restaurant in Sarasota County-Antolino's Pizza,"14291 Tamiami Trl, North Port, FL, 34287",Michele Gregoire,941-356-5501
Nori Japanese Sushi and Grill 251-689-7788,"1741 E 9 Mile Rd, Pensacola, FL, 32514",Steven Chhoa,251-689-7788
HIGH SCHOOL PK TRACK,"5801 NW 1st Ave, Miami, FL, 33127",Eduardo Torrealba,305-877-4231
1613 Chamorro Street SE,"1613 Chamorro Street SE, Palm Bay, FL, 32909",Angie Amate,No Phone Number Available
425 Jefferson St Daytona Beach,"425 Jefferson St, Daytona Beach, FL, 32114",Patrick O'Brien,386-478-6557
Furniture Store Business For Sale,"SW 57th Ave, Miami, FL, 33144",Teresa Campos,305-316-9220
Jewelry Retail,"Jewelry, Orlando, FL, 32801",Susan M Barnes,407-908-4663
1835 42nd Avenue,"1835 42nd Avenue, Vero Beach, FL, 32960",Susan Baran,772-362-5068
WEST END PARK AMD PL,"1230 NW 35th St, Miami, FL, 33142",Krissy Camacho,786-208-3531
PROGRESSO,"1236 NE 16th Ave, Fort Lauderdale, FL, 33304",nissan shukrie,305-778-1190
IDLEWILD PARK,"244 SW 17th Ct, Miami, FL, 33135",Ambarina Montero,786-521-2750
MARBAR ESTATES,"1716 N 16th Ct, Hollywood, FL, 33020",Annie Lavallee,954-558-7055
BELLEVUE SUB,"1842 NW 18th Ter, Miami, FL, 33125",Keith Terrel,786-469-1718
Pet Grooming and Shop Store,"Pet Grooming and Shop Store, Coral Springs, FL, 33071",Albert Martinez,No Phone Number Available
HOLLYWOOD TERRACE AMEN PL,"2421 Garfield St, Hollywood, FL, 33020",Michael Clemente,954-214-5252
Sunbeam Auto Toys,"1042 S Military Trl, West Palm Beach, FL, 33415",Yadira Castillo,561-856-3775
BISC GARDENS SEC C,"16300 N Miami Ave, Miami, FL, 33169",Jose Fernandez,305-761-0801
2700 Miriam St,"2700 Miriam St S, Gulfport, FL, 33711",Jeff Copeland,727-235-7988
Mission Liquors,"9100 Merrill Rd, Jacksonville, FL, 32225",Susan hanson,904-563-5190
RIVERSEDGE,"1919 NW 16th Ter, Miami, FL, 33125",Luis Jimenez,786-955-4630
1202 Ridgewood Avenue,"1202 Ridgewood Avenue, Daytona Beach, FL, 32117",Rodolphe Brun,386-235-0670
ALLAPATTAH MANORS SUB,"1443 NW 32nd St, Miami, FL, 33142",Itai Tsanaani,786-838-3114
West State Rd,"West State Rd, Sunrise, FL, 33326",Cristian Borquez Holch,954-684-1817
33-48-42 W 50 OF E 385 OF,"3024 NW 2nd St, Pompano Beach, FL, 33069",Natasha Olsak,561-305-0084
OSCEOLA PARK,"1727 SW 21st St, Fort Lauderdale, FL, 33315",Albert Zyl,954-554-6613
BISCAYNE AVE TRACT,"146 NW 58th St, Miami, FL, 33127",Niva Telfort,No Phone Number Available
NEW WORLD CONDO APTS III,"251 NW 177th St, Miami Gardens, FL, 33169",Fabian Gonzalez,No Phone Number Available
MUSA ISLE,"1560 NW 25th Ave, Miami, FL, 33125",Maria Marrero-Perez,786-258-4078
MELROSE HEIGHTS,"2469 NW 35th St, Miami, FL, 33142",Mayelin Ortega Gonzalez,786-781-3118
BISCAYNE COURT,"1540 NE 118th St, Miami, FL, 33161",Alex Castillo,305-467-8585
10280 SW 175TH ST,"10280 SW 175th St, Miami, FL, 33157",Ricardo Lay,305-934-4977
Fort Lauderdale Duplex Investment – $630K | 4.5% NOI,"1515 NW 2nd Ave, Fort Lauderdale, FL, 33311",Carlos Jose Pulido,305-333-5859
7904 SE US HIGHWAY 301,"7904 SE US HIGHWAY 301, Hawthorne, FL, 32640",Daniel Colombo,407-489-9070
Updated West Coral Springs Duplex,"3780 NW 110th Ave., Coral Springs, FL, 33065",Carlos Montoya,954-234-7653
134 Hwy 79 Road,"134 Hwy 79 Road, Panama City Beach, FL, 32413",DJ Janovyak,850-235-2551
ATLANTIC SHORES DIXIE HIGH,"623 NE 5th ST, Hallandale Beach, FL, 33009",Yuliya Prysedska,305-206-8650
FRESHWATER ADD TO WPB,"629 9th St, West Palm Beach, FL, 33401",Rene Sanchez,305-363-5990
Duplex in Largo,"914 Lake Palms Dr., Largo, FL, 33771",Tom Steck,727-641-7771
TOWN OF HIALEAH 1 ADDN AM,"359 E 12th St, Hialeah, FL, 33010",Orestes Canales,786-295-4575
GEO M PHIPPENS SUB IN,"612 NW 2nd Ave, Hallandale Beach, FL, 33009",JONATHAN SOLOMON,305-542-4824
2569 CLUB Terrace,"2569 CLUB Terrace, Jacksonville, FL, 32207",Brian Gabree,904-234-4755
COMMUNITY GARDENS,"2560 WILMINGTON ST, Opa-Locka, FL, 33054",Ivonne Turcios,305-300-2880
HOLLYWOOD BEACH GARDENS,"5639-5641 Lincoln St, Hollywood, FL, 33021",Lucille Figini,954-699-8174
HIALEAH LAWN AMD PL,"626 W 17th St, Hialeah, FL, 33010",Julio Hernandez,305-632-3144
6770 Indian Creek Dr,"6770 Indian Creek Dr, Miami Beach, FL, 33141",Richard Feldman,305-970-2884
OLYMPIC HEIGHTS,"9007 SW 38th St, Miami, FL, 33165",Nicole Vernon,954-937-6080
GRAPELAND,"2551 SW 18th St, Miami, FL, 33145",Dora Tano,305-205-3861
LEHIGH ESTATES UNIT 8 BLK.,"713 HIGHTOWER AVE S, Lehigh Acres, FL, 33973",Jheanny Rendon,No Phone Number Available
