Building Name,Address,Broker,Broker Phone
1604 W Violet Drive,"1604 W Violet Drive, Pharr, TX, 78577",Bryanna Hernandez,No Phone Number Available
1620 El Camino Drive,"1620 El Camino Drive, Weslaco, TX, 78596",Jaime Lee Gonzalez,956-599-8400
1317 Michigan Street,"1317 Michigan Street, Alton, TX, 78573",Jaime Lee Gonzalez,956-599-8400
137 Knape Rd. in La Grange,"137 Knape Rd., La Grange, 78945",Chip Bubela,979-743-4555
209 Rafael Drive,"209 Rafael Drive, San Juan, TX, 78589",Jaime Lee Gonzalez,956-599-8400
Houston Crawfish & Seafood - Alcoholic Beverages Allowed,"13192 Veterans Memorial Dr, Houston, TX, 77014",Loc Tran,832-838-7979
"Luxe Garage Condo in Katy, Texas","1435 FM 1463 - Unit 2, Katy, TX, 77494",Mina Rezaie,832-607-2474
1418 Bentsen Palm Drive,"1418 Bentsen Palm Drive, Palmview, TX, 78574","Grizelda ""Grace"" Montalvo",956-540-7337
2913 E Israel Avenue,"2913 E Israel Avenue, Alton, TX, 78573",Janet Clement,956-520-2318
Avenue B Property Assemblage,"1023 Avenue B, San Antonio, TX, 78215",Brad Wilson,210-745-1438
000 Jackpot Avenue,"000 Jackpot Avenue, Edinburg, TX, 78542",misael Blanco,956-328-2167
1405 W Kiwi Avenue W,"1405 W Kiwi Avenue W, Pharr, TX, 78577",Dean Chan,956-827-1415
3703 Valeria Street,"3703 Valeria Street, Edinburg, TX, 78541",Cesar Cepeda,956-821-3765
10159 Highway 321,"10159 TX-321, Dayton, TX, 77535",Bruce Ham,832-271-7001
1608 El Camino Drive,"1608 El Camino Drive, Weslaco, TX, 78596",Jaime Lee Gonzalez,956-599-8400
201-205 S 1st Avenue,"201-205 S 1st Avenue, Edinburg, TX, 78539",Maggie Harris,956-984-9019
Craft Cocktail Lounge,"20801 Gulf Fwy, Webster, TX, 77598",Jay Shaw,832-859-3893
1 ACRE- Prime Galleria Area: 6010 Fairdale Lane,"6010 Fairdale Ln, Houston, TX, 77057",Nicole Sabbagh,713-231-8996
605 Sparrow Road,"605 Sparrow Road, Weslaco, TX, 78596",Janet Clement,956-520-2318
Sattler Self Storage,"1065 Market Heights, New Braunfels, TX, 78132",Ryan Parker,830-481-2233
227 Ebano Street,"227 Ebano Street, Sullivan City, TX, 78595",Elsa Garcia,956-777-2785
1013 W Mahala Avenue,"1013 W Mahala Avenue, Alton, TX, 78573",Cecilia Olivarez,No Phone Number Available
166 County Rd 404,"166 County Rd 404, Pecos, TX, 79772",Carol Morrow,432-386-3434
432 Acacia Street,"432 Acacia Street, Alamo, TX, 78516",Bryanna Hernandez,No Phone Number Available
"Car Wash in Troup, TX","909 W Duval St, Troup, TX, 75789",Carter Rohrbach,903-330-6773
242 Bishop,"242 Bishop St, Livingston, TX, 77351",Derek Montes,832-434-4509
1101 Myrtle Ave,"1101 Myrtle Ave, El Paso, TX, 79901",James Moreno,512-669-6280
"Turnkey Triplex Investment Opp in the Heart of Crockett, TX","300 Cedar St, Crockett, TX, 75835","Adam Olsen, CCIM",713-614-2670
5318 Vision Street,"5318 Vision Street, Rio Grande City, TX, 78582",Jaime Lee Gonzalez,956-599-8400
Wash Haus & RV Park,"3685 TX-19, Huntsville, TX, 77320","Adam Olsen, CCIM",713-614-2670
5316 Vision Street,"5316 Vision Street, Rio Grande City, TX, 78582",Jaime Lee Gonzalez,956-599-8400
Hospice License and business for sale,"14090 Southwest Fwy, Sugar Land, TX, 77478",Lynda Nguyen,281-300-7933
Prime Downtown Schulenburg Commercial Property,"702 Upton, Schulenburg, 78956",Chip Bubela,979-743-4555
Turnkey Car Wash Portfolio in High-Traffic Beaumont Corridor,"7412 TX-105, Beaumont, TX, 77713",Alexander Pavone,480-622-0050
Pet Care Grooming/Boarding/Daycare Business For Sale,"Sugar Land, Sugar Land, TX, 77478",Issac Newton,No Phone Number Available
Williamsdell 4-Plex,"8310 Williamsdell St, Houston, TX, 77088",Dionne Randle,713-234-6888
6928 Third St,"6928 Third St, Canutillo, TX, 79835",Albert Lugo,915-269-1550
107 N Austin,"107 N Austin St, Seguin, TX, 78155",Lee Edwards,830-708-2319
Whittle Way Rental Portfolio,"3203 Whittle Way, Midland, TX, 79707",Kerri Payne James,432-553-7443
1795 Trevino Street,"1795 Trevino Street, Rio Grande City, TX, 78582",Hiram Diaz,956-378-7355
"Luxe Garage Condo in Katy, Texas","1435 FM 1463 Unit 1, Katy, TX, 77494",Mina Rezaie,832-607-2474
Country Estate Investment Opportunity in Powderly TX,"1900 County Rd 33900, Powderly, TX, 75473",J.W. Ross,903-438-2585
ASHFORD ODESSA SQUARE,"222 N Dixie Blvd, Odessa, TX, 79761",Tom Wilkinson,713-355-4646
1721 Monaco Drive,"1721 Monaco Drive, San Juan, TX, 78589",Bryanna Hernandez,No Phone Number Available
4508 N Mile 4 1/2 W,"4508 N Mile 4 1/2 W, Weslaco, TX, 78599",Jose Luis Garcia,956-968-8900
"301 W Dallas Avenue Cooper, TX 75432","301 W Dallas Avenue, Cooper, 75432",Bryan Glass,903-517-5889
2608 E Israel Avenue,"2608 E Israel Avenue, Alton, TX, 78573",Janet Clement,956-520-2318
Baseline Bar,"1139 Harry Wurzbach Rd, San Antonio, TX, 78209",Amanda Concha,210-201-0061
1505 Shavano Drive,"1505 Shavano Drive, Edinburg, TX, 78541",Bryanna Hernandez,No Phone Number Available
1404 Alta Vista Drive,"1404 Alta Vista Drive, Weslaco, TX, 78596",Bryanna Hernandez,No Phone Number Available
302 S Avenue B,"302 S Avenue B, Freeport, TX, 77541",RYAN BIRDSONG,979-292-6205
220 Huisache Street,"220 Huisache Street, Rio Grande City, TX, 78582",Hiram Diaz,956-378-7355
RARE DEVELOPMENT OPPORTUNITY,"2400 Rice Boulevard, Houston, TX, 77005",David Carter,713-830-2135
81 & 77 FM 3454,"81 Farm to Market Rd 3454, Huntsville, TX, 77320",Sherri Barrett,936-662-6386
"869 Kindersley Street, Canyon Lake, Texas 78133","869 Kindersley Street, Canyon Lake, TX, 78133",Kasey Mock,512-275-6625
Boerne Villas,"311 E San Antonio Ave, Boerne, TX, 78006",Sam Parsley,432-638-7202
Commercial Land and Building,"18361 TX-80, Gillett, 78116",Romelda Cantu,210-317-2065
"Rancho Grande RV Park for Sale in Rankin, TX","2022 US-67, Rankin, TX, 79778",Thomas Johnston,432-688-8200
5.1 Acres I-35 New Braunfels-San Antonio-Garden Ridge,"22156 Old Nacogdoches Rd ID, New Braunfels, TX, 78132",Patrick Serna,210-400-7131
00 ARROYO DR,"00 Arroyo Dr., Harlingen, TX, 78552",Donald Haire,956-367-3313
"Three - 50x150 lots, total 150x150, Zoned RDD","1311 N 1st St, Wichita Falls, TX, 76306",Michael Todaro,201-522-7641
"346 W Main Street, Rosebud, TX, 76570","346 W Main Street, Rosebud, TX, 76570",Mitzi Eves,254-744-1692
7809 S Cisne Street,"7809 S Cisne Street, Pharr, TX, 78577",Antonio Villeda,956-331-9329
3810 W Sarah Evans Street,"3810 W Sarah Evans Street, Edinburg, TX, 78541",Victor Fuentes,956-432-1351
1612 El Camino Drive,"1612 El Camino Drive, Weslaco, TX, 78596",Jaime Lee Gonzalez,956-599-8400
Baylor,"153 E Baylor St, San Antonio, TX, 78204",Sterling Williams,210-569-9008
1838 Buffalo,"1838 Buffalo St, San Antonio, TX, 78211",Dominique Jimenez,No Phone Number Available
620 W Amarillo Blvd,"620 W Amarillo Blvd, Amarillo, TX, 79107",Sam Martinez,806-654-0960
1210 Upas Drive,"1210 Upas Drive, Edinburg, TX, 78539","Grizelda ""Grace"" Montalvo",956-540-7337
1317 S Michigan Street,"1317 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
Austin suburban land,"270 US-Hwy 290, Elgin, TX, 78621",Raghu Lingala,646-244-7445
3.81 AC RV/MH Park or Self Storage Development Opportunity,"4409 W Stan Schlueter Loop, Killeen, TX, 76549",Landan Dory,512-222-6826
3305 Frio Avenue,"3305 Frio Avenue, McAllen, TX, 78504",Dean Chan,956-827-1415
112 Smith Lane,"112 Smith Ln, San Marcos, TX, 78666",Tommy Cain,512-517-4429
WAREHOUSE/ OFFICE SPACE,"2616 SW Loop 410, San Antonio, TX, 78227","Kingdom Internation Realty, LLC",210-663-6706
"Dairy Bar Diner & Drive-in, Crowell, Texas","221 E Commerce St, Crowell, TX, 79227",Chad Holland,806-205-0497
Kim & Jenny's,"133 N 8th St, Midlothian, TX, 76065",Cherith Samson,917-583-6393
215 W Diamond Avenue,"215 W Diamond Avenue, Mission, TX, 78573",Mario Baez,956-827-0170
Wong's Palace,"2201 S W S Young Dr, Killeen, TX, 76543",Serene Wong,346-833-8613
Salinas/Macias Way || 5 Unit Portfolio,"1712 W Salinas, San Antonio, TX, 78207",Fernando Torres,210-201-4874
1613 W Cortlandt Street,"1613 W Cortlandt Street, Edinburg, TX, 78541",Janet Clement,956-520-2318
5809 Puffin Avenue,"5809 Puffin Avenue, McAllen, TX, 78504",Dean Chan,956-827-1415
904 Kansas Ave,"904 Kansas Ave, Mercedes, TX, 78570",Bryanna Hernandez,No Phone Number Available
2101 W Harrison Street W,"2101 W Harrison Street W, Weslaco, TX, 78599",Elsa Garcia,956-777-2785
168 County Road 404,"168 County Road 404, Pecos, TX, 79772",Carol Morrow,432-386-3434
12733 FM 1960 E. Huffman TEXAS 77336,"12733 Farm to Market 1960 Rd E, Huffman, TX, 77336",SHIJIMON JACOB,832-755-2867
6802 N 56th Lane,"6802 N 56th Lane, McAllen, TX, 78504",Janet Clement,956-520-2318
318 W Washington Ave.,"318 W Washington Ave., Harlingen, TX, 78550",Pauline Zurovec,956-793-9993
9034 (15/16) Glen Shadow,"9034 (15/16) Glen Shadow, San Antonio, TX, 78239",Texas Ally,512-763-2559
E McDonald St,"809 E McDonald St, Mineola, TX, 75773",Nanci Wright,903-352-3857
418 Lotto Lane,"418 Lotto Lane, Edinburg, TX, 78541",Jaime Lee Gonzalez,956-599-8400
1402 Corpus Christi St | Apartment,"1402 Corpus Christi St, Laredo, TX, 78040",James Villarreal,956-236-8598
2500 Willow Hill,"2500 Willow Hill Dr, Austin, TX, 78741",Graham Schmergel,512-861-3423
401 S FM 356,"401 S FM356, Onalaska, TX, 77360",Teresa Hill,936-777-5077
1412 Lore Drive,"1412 Lore Drive, Weslaco, TX, 78599",Esteban Sanchez,956-340-4633
Sylvia's Wig Shop,"3220 Gus Thomasson Rd, Mesquite, TX, 75150",Kalani Hooker,972-698-9700
Law Firm For Sale Denver,"Law Firm For Sale Denver, Altair, TX, 77412",MJ Nuanes,303-601-0883
1623 El Camino Drive,"1623 El Camino Drive, Weslaco, TX, 78596",Jaime Lee Gonzalez,956-599-8400
24 Unit Self Storage Facility,"18803 RM 1431, Jonestown, TX, 78645",Carl Dieckmann,512-289-2299
1033 Rivas St,"1033 Rivas St, San Antonio, TX, 78207",Jessie Bienvenu,210-550-4440
5704 Ozark Avenue,"5704 Ozark Avenue, McAllen, TX, 78504",Jaime Lee Gonzalez,956-599-8400
Avinger Mini Storage,"205 State Hwy 155, Avinger, TX, 75630",Scott Nolan,903-738-5636
17423 Fx Ball,"17423 Fx Ball Dr, Elmendorf, TX, 78112",Uri Uriah,830-600-5263
1012 W La Pointe Avenue,"1012 W La Pointe Avenue, Alton, TX, 78573",ZINTIHA LOYA,956-536-9270
5303 Bell Springs Rd,"5303 Bell Springs Rd, Dripping Springs, TX, 78620",Tommy Cain,512-517-4429
2313 Lake Dr.,"2313 W Lake Dr, Taylor, TX, 76574",Rick Northcutt,512-296-7379
Hotaka Ramen & Izakaya,"1930 Pearland Pkwy Suite 190, Pearland, TX, 77581",Serene Wong,346-833-8613
318 W Washington Ave.,"318 W Washington Ave., Harlingen, TX, 78550",Pauline Zurovec,956-793-9993
1609 Nassau Street,"1609 Nassau Street, Edinburg, TX, 78541",Myra Caridad García,956-648-6456
917 Glory St,"917 Glory St, Alamo, TX, 78589",Bryanna Hernandez,No Phone Number Available
1407 W Kiwi Avenue W,"1407 W Kiwi Avenue W, Pharr, TX, 78577",Dean Chan,956-827-1415
Established Hair Salon For Sale,"State Hwy 71, Austin, TX, 78738",Harold McGee,512-626-6470
1209 S Michigan Street,"1209 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
Cafe Shop Sublease and Asset Sale in Katy Asian Town,"23015 Colonial Pkwy, Katy, TX, 77493",Jimmy Chang,832-577-7725
2818 W Expressway 83,"2818 W Expressway 83, Mercedes, TX, 78572",Aurora Trevino,956-221-0204
900 State Hwy 118 S,"900 State Hwy 118 S, Alpine, TX, 79830",Carol Morrow,432-386-3434
1804 36th St N,"1804 36th St N, Texas City, TX, 77590",Cynthia Corder,409-795-1269
2100 Aruba Drive,"2100 Aruba Drive, Edinburg, TX, 78541",misael Blanco,956-328-2167
1010 Starr Street,"1010 Starr Street, Mercedes, TX, 78570",Bryanna Hernandez,No Phone Number Available
3202 Eisenhauer Rd #801 & #802,"3202 Eisenhauer Rd, San Antonio, TX, 78209",Patrick Vallejo,210-618-6924
Potential High Density Student Housing or Townhome Site,"1600 N Ruddell St, Denton, TX, 76209",Steven Geis,940-368-5559
"97 N Main Bailey, TX 75413","97 N Main St, Bailey, 75413",Bryan Glass,903-517-5889
Exceptional Investment Trio: Multi-Home Property Near SHSU,"31 Jackson Rd, Huntsville, TX, 77320","Adam Olsen, CCIM",713-614-2670
2208 W Main St.,"2208 W Main St, Clarksville, TX, 75426",Bryan Glass,903-517-5889
1217 S Michigan Street,"1217 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
1629 El Camino Drive,"1629 El Camino Drive, Weslaco, TX, 78596",Jaime Lee Gonzalez,956-599-8400
"10.45 Ac Multi-Family Development Tract- Abilene, Tx","7002 Maryland St, Abilene, TX, 79606",Dale Scoggins,325-691-1856
Half Acre HWY 181 Frontage Portland TX,"Austin St, Portland, TX, 78374",Patrick Serna,210-400-7131
4708 N Cypress Street N,"4708 N Cypress Street N, Pharr, TX, 78577",Dean Chan,956-827-1415
Versatile 1-acre property in the heart of Houston,"3127 Frick Rd, Houston, TX, 77038","Adam Olsen, CCIM",713-614-2670
1107 Shasta Avenue,"1107 Shasta Avenue, McAllen, TX, 78504",Karen Williams,956-648-8851
6655 7TH ST.,"6655 7th St, Bay City, TX, 77414",Erik Frankson,979-244-6194
"1.3 Acres, 5600 SF Improvements, 23K CPD","1815 Parker Rd, Houston, TX, 77093",Montebello Team at R.A. Brokers,713-843-7711
"610 Nash Street Round Rock, TX 78664","610 Nash Street, Round Rock, 78664",Chip Bubela,979-743-4555
1309 S Michigan Street,"1309 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
Roll Off Dumpster Business,"10210 Quaker Ave, Lubbock, TX, 79424",Daniel Stanton,806-281-4005
915 13th Street,"915 13th Street, Alamo, TX, 78589",Mario Baez,956-827-0170
"199 Antelope Circle Harper, TX 78631","199 Antelope, Circle Harper, TX, 78631",Kasey Mock,512-275-6625
1504 Prosperity Drive,"1504 Prosperity Drive, Edinburg, TX, 78541",Maria Guerra,956-624-7036
100 JAIME J ZAPATA ST,"100 Jaime J Zapata St, New Falcon, TX, 78564",Michelle Guerra,956-324-2427
1631 Playa Drive,"1631 Playa Drive, Weslaco, TX, 78596",Dean Chan,956-827-1415
"Orange Grove RV Park and Property Now Offered at $675,000","176 Co Rd 304, Orange Grove, TX, 78372",Shannon Harman,713-478-1962
1508 Pendergrass Street - Lockhart,"1508 Pendergrass St, Lockhart, TX, 78644",Land Unlimited,512-729-7139
FULLY FURNISHED Vacation Rental Income Producing Property,"2341 Eagle St, Houston, TX, 77004",Ernest Kalibala,832-573-3367
1302 Prosperity Drive,"1302 Prosperity Drive, Edinburg, TX, 78541",misael Blanco,956-328-2167
Kilgore Cox Road,"Cox Dr, Kilgore, TX, 75662",Andy Kutach,512-484-3002
Walker Place at Moonlight Park,"1025 Zenyatta Dr, Hewitt, TX, 76643",Richard Waterhouse,512-535-4850
SAN ANTONIO OFF MARKET MULTIFAMILY PORTFOLIO,"Undisclosed, San Antonio, TX, 78205",Emily Johnson,210-640-9901
AAA Storage Hillside,"124 Essex Blvd, Huntsville, TX, 77320",Gina May,No Phone Number Available
2086 Ashley Rd,"2086 E Ashley Rd, San Antonio, TX, 78221",Jessica Soliz,210-449-5952
Park Plaza,"1905 Jephson Ln, Alvin, TX, 77511",Bill Burge,713-817-2128
±9.78 Acre Development Opportunity in Northwest Houston,"8303 Cypress Creek Pkwy, Houston, TX, 77070",Kenneth Danna,713-955-3120
The Abdou Building | Trophy Asset,"115 N Mesa St, El Paso, TX, 79901",Dylan Surratt,915-843-8888
4111 Stapper Rd,"4111 Stapper Rd, Saint Hedwig, TX, 78152",Charles L Jeffers,210-524-1362
3607 Anita Street,"3607 Anita St, Houston, TX, 77004",Michael Flores,281-889-9352
Modern Hideaway,"7441 Alameda Ave, El Paso, TX, 79915",David Arteaga,915-233-0707
Urbane @ Linwood,"2805 Weisenberger St, Fort Worth, TX, 76107",Jordan Gasper,248-581-3318
Fat Oyster Seafood Restaurant,"200 Coit Rd, Plano, TX, 75075",DUY DAO,945-243-5786
Falcon Ridge North & South,"350 E Aviation Blvd, San Antonio, TX, 78210",Phillip Grafe,210-401-0197
Turnkey 8-unit with lots of potential to add value,"130 Town St building #1, Centerville, TX, 75833",Max Son,512-415-6244
"1100 W. Houston St, Carrizo Springs, TX 78834","1100 W Houston St, Carrizo Springs, TX, 78834",Victor Zuniga,210-264-0870
1600 Scripture Street,"1600 Scripture St, Denton, TX, 76201",John Withers,940-390-6235
510 S Good Latimer Expy,"510 S Good Latimer Expy, Dallas, TX, 75226",J. Scott Lake,214-526-3626
Crowley SFR Portfolio,"536 Anchor Way, Crowley, TX, 76036","Eliud Sangabriel, CCIM",972-839-0590
14401 Avenue P - Mobile home Park,"14401 Avenue P, Lubbock, TX, 79423","David Haymes, CCIM",806-776-2831
Central Texas Residential Portfolio,"6510 Stonleigh Pl, Austin, TX, 78744","Robby Roden, CCIM, CPM",512-787-6139
"7 Unit Multifamily Cashflowing in New Caney, TX","25030 Twin Oaks Dr, New Caney, TX, 77357",Federico Medina,713-885-1292
400 Echo Street,"400 Echo St, Graham, TX, 76450",LINSEY TAYLOR,940-532-6982
205 E. Davis & 321 N. Patton Ave,"205 E. Davis & 321 N. Patton Ave., Dallas, TX, 75203",J. Scott Lake,214-526-3626
Diversified Income Property,"731 TX-62, Buna, TX, 77612",David Rose,409-899-3300
921 S Main Duplex Office Building,"921 S Main St, Lumberton, TX, 77657",Jacey-Kay Carter,409-454-0500
Bliss Nails for Sale,"1521 McKinney St, Melissa, TX, 75454",Quynh Dang,214-971-0215
IT'LL DO GRILL,"125 W Main St, Munday, TX, 76371",Chris Jakubicek,940-631-4825
303 S Ridge Lane,"303 S Ridge Lane, San Juan, TX, 78589",Gloria Resendez,956-821-6170
1318 San Vicente Drive,"1318 San Vicente Drive, Weslaco, TX, 78596",Leticia Valdez,No Phone Number Available
703 Pedro Street,"703 Pedro Street, Mission, TX, 78572",Gregory Vasquez,No Phone Number Available
3307 Aurora Lane,"3307 Aurora Lane, Edinburg, TX, 78542",Jesus Gonzalez,No Phone Number Available
2813 Delta Road,"2813 Delta Road, Weslaco, TX, 78596",Irene Uribe Manrique de Lara,No Phone Number Available
2816 N 31st Street N,"2816 N 31st Street N, McAllen, TX, 78501",Arturo Chapa,956-686-1571
2001 S Valley Circle,"2001 S Valley Circle, La Feria, TX, 78559",Adrian Guerra,No Phone Number Available
503 Adams Avenue,"503 Adams Avenue, Alton, TX, 78573",Denyss Alanis,No Phone Number Available
BOBA SHOP WITH DRIVE-THRU IN PRIME LOCATION,"841 N Tarrant Pkwy, Keller, TX, 76248",Mai Huong Nguyen,512-521-8052
1301 Iris Avenue E,"1301 Iris Avenue E, McAllen, TX, 78501",Monica Gonzalez,No Phone Number Available
3610 N Valeria Street N,"3610 N Valeria Street N, Edinburg, TX, 78541",Daniella B Jimenez Gonzalez,No Phone Number Available
3501 N Inspiration Road,"3501 N Inspiration Road, Mission, TX, 78573",Jay Bhakta,956-215-9129
2307 Kimberly Lane,"2307 Kimberly Lane, Edinburg, TX, 78541",Ronnie Ontiveros,956-628-4663
1805 S Linden Street,"1805 S Linden Street, Pharr, TX, 78577",Christopher Garcia,No Phone Number Available
3606 Sheraton Avenue,"3606 Sheraton Avenue, Pharr, TX, 78577",Claudia Garza,No Phone Number Available
1412 Lore Drive,"1412 Lore Drive, Weslaco, TX, 78599",Shellia Gowins,No Phone Number Available
"Odessa, TX STR","5404 W Blair St, Odessa, TX, 79764",Lindsay Childress,432-212-2272
2000 Circe Drive,"2000 Circe Drive, Mission, TX, 78572",Karen Carreno,956-328-0000
2805 Israel Avenue,"2805 E Israel Avenue, Alton, TX, 78572",Cesar Felix,956-648-2918
5321 Vision Street,"5321 Vision Street, Rio Grande City, TX, 78582",Rodrigo Garza Saenz,No Phone Number Available
3818 W Faith Hill Street,"3818 W Faith Hill Street, Edinburg, TX, 78541",Alejandro Espinosa,956-994-0500
910 Athol Street,"910 Athol Street, San Juan, TX, 78589",Rebeca Bermudez,956-328-8473
1902 Bahamas Drive,"1902 Bahamas Drive, Edinburg, TX, 78541",Jose Lopez,No Phone Number Available
2614 Columbus Dr,"2614 Columbus Dr, Brownsville, TX, 78521",Martha Maron,956-455-9143
7544 N Highway 69,"7544 US-69, Alba, TX, 75410",AMIN DAWOOD,713-922-4074
3901 Paola Street,"3901 Paola Street, Edinburg, TX, 78541",Kevin Joseph Martinez,No Phone Number Available
5212 & 5213 N Taylor Road,"5212 & 5213 N Taylor Road, Mission, TX, 78573",Tom Shepherd,No Phone Number Available
WALNUT APARTMENTS,"104 W South St, Clarksville, TX, 75426",Andy Williams,214-228-7066
1818 Tierra Dulce Drive,"1818 Tierra Dulce Drive, Edinburg, TX, 78539",Diana Mireya,No Phone Number Available
Quadplex,"160 Third Street, Ringgold, TX, 76261",Aimee Ashley,940-389-1229
2113 Dallas Avenue,"2113 Dallas Avenue, McAllen, TX, 78501",Jose Lopez,No Phone Number Available
2107 Casey Drive,"2107 Casey Drive, Pharr, TX, 78577",Rebeca Bermudez,956-328-8473
1300 S Yankton Street,"1300 S Yankton Street, Alton, TX, 78573",Daniela Perez,No Phone Number Available
845 Deluxe Street,"845 Deluxe Street, Alamo, TX, 78589",Jesus De Leon,No Phone Number Available
900 W 8th Street,"900 W 8th Street, Mission, TX, 78572",Gregory Vasquez,No Phone Number Available
2007 Angus Street,"2007 Angus Street, Mission, TX, 78572",Alondra Oyervides,956-877-9101
1006 N Woodson,"1006 N Woodson, Edinburg, TX, 78541",Monica Gonzalez,No Phone Number Available
3004 W Kenwood Street,"3004 W Kenwood Street, Edinburg, TX, 78541",Pedro Bazan,No Phone Number Available
908 FM 2808,"908 FM2808, Kempner, TX, 76539",Denise Zehr,254-547-0505
2164 Kennedy Circle,"2164 Kennedy Circle, McAllen, TX, 78501",Jose Betancourt,No Phone Number Available
Magnolia East,"13663 FM 1488, Magnolia, TX, 77354",Harrison Mohn,713-898-3976
5105 N Raul Longoria Road,"5105 N Raul Longoria Road, San Juan, TX, 78589",Jesus Gonzalez,No Phone Number Available
709 N Emerald Avenue,"709 N Emerald Avenue, Edinburg, TX, 78541",Irene Uribe Manrique de Lara,No Phone Number Available
Three Unit Single Family Rental Portfolio,"245 Pinecrest St, Rusk, TX, 75785",Jerry-Michael Norton,903-284-9082
913 E Stubbs Street,"913 E Stubbs Street, Edinburg, TX, 78539",Maria Guerrero,No Phone Number Available
1404 Vani Drive,"1404 Vani Drive, Weslaco, TX, 78599",Daniela Perez,No Phone Number Available
9911 C E King Parkway,"9911 C E King Pkwy, Houston, TX, 77044",Kyle Prater,832-916-4771
Luxury Nail Salon | $1.3M+ Revenue | Profitable & Turnkey,"929 Watters Creek Blvd, Allen, TX, 75013",Mai Huong Nguyen,512-521-8052
804 W 2nd St - PRIME LOCATION - Commercial & Residential,"804 W 2nd St, Taylor, TX, 76574",HASAN YACOUB,512-395-5017
206 W Albatross Avenue,"206 W Albatross Avenue, Pharr, TX, 78577",Rebeca Bermudez,956-328-8473
2515 Gentry,"2515 Gentry St, Houston, TX, 77009",Sam Chaudhry,713-609-9909
New Nail Salon with Attached Residence,"606 W Duval St, Troup, TX, 75789",Pamela Walters,903-581-3900
3601 Valeria Street,"3601 Valeria Street, Edinburg, TX, 78541",Jesus Gonzalez,No Phone Number Available
1909 W Mile 2 Road,"1909 W Mile 2 Road, Mission, TX, 78574",Gladys Ramos,No Phone Number Available
4707 Harmon Ave,"4707 Harmon Ave, Austin, TX, 78751","Robert E. Young, Jr.",214-720-6688
604 Buccaneer Drive,"604 Buccaneer Drive, Hidalgo, TX, 78557",Ariana Torres,No Phone Number Available
412 S 49th Street,"412 S 49th Street, McAllen, TX, 78501",Dulce Blanco,No Phone Number Available
4933-4937 Alton Ave,"4933 Alton Ave, Dallas, TX, 75214",Harris Arnhart,214-526-3626
1410 N Phoenix Street N,"1410 N Phoenix Street N, Edinburg, TX, 78541",José Carlos Gonzalez,956-562-9729
1007 Clarence Avenue,"1007 Clarence Avenue, Edinburg, TX, 78541",Amylie Galindo,No Phone Number Available
3201 Crisantema Street,"3201 Crisantema Street, Mission, TX, 78573",Victor Solano,No Phone Number Available
1619 W Portales Drive,"1619 W Portales Drive, Edinburg, TX, 78539",Brenda Ochoa,956-648-5700
41 N Bryan Road,"41 N Bryan Road, Alton, TX, 78574",Jesus Gonzalez,No Phone Number Available
101 Lockhart St,"101 S Lockhart St, Manor, TX, 78653",Giby Parackal,512-653-6525
1101 Mahala Avenue,"1101 Mahala Avenue, Alton, TX, 78573",Rebeca Bermudez,956-328-8473
3309 Wolf Creek Avenue,"3309 Wolf Creek Avenue, McAllen, TX, 78504",Jorge Zambrano,No Phone Number Available
North 11th Street Laporte Tx,"N 11th St, La Porte, TX, 77571",Jamal Abuhantesh,713-542-5693
701 E 8th Street,"701 E 8th Street, Mission, TX, 78572",Anselmo Trevino,956-821-1784
1007 Hidden Hills Street,"1007 Hidden Hills Street, Mission, TX, 78572",Gregory Vasquez,No Phone Number Available
Living Health Holistic Health Care,"1208 N Academy Ave, New Braunfels, TX, 78130",Rome Gregorio,830-321-0471
222 W Samano Street,"222 W Samano Street, Edinburg, TX, 78539",Edna Taylor,956-631-4902
825 S Missouri Street,"825 S Missouri Street, Alton, TX, 78573",Irene Uribe Manrique de Lara,No Phone Number Available
513 Coves Lane,"513 Coves Lane, Weslaco, TX, 78596",Tania Salinas,No Phone Number Available
"220 S. Marsalis Ave. & 211, 217, 225 S. Lancaster Ave.","220 S. Marsalis Ave. & 211,217, 225 S. Lancaster Ave., Dallas, TX, 75203",J. Scott Lake,214-526-3626
1406 Simon Ave,"1406 Simon Ave, Brenham, TX, 77833",Candace Lubojasky,210-748-7728
608 Buccaneer Drive,"608 Buccaneer Drive, Hidalgo, TX, 78557",Ariana Torres,No Phone Number Available
Camino Real Ranchette,"249 Camino Real, Kerrville, TX, 78028",Barry McCollom,830-896-2587
4200 S Veronica St Monahans,"4200 S Veronica St, Monahans, TX, 79756",Melody Villasana,432-559-7703
818 Walnut Avenue,"818 Walnut Avenue, McAllen, TX, 78501",Jennifer Cantu,No Phone Number Available
Driscoll Outlots,"2312 US-77, Driscoll, TX, 78351",Gene Guernsey,361-960-7653
907 N Woodson Avenue,"907 N Woodson Avenue, Edinburg, TX, 78541",Irene Uribe Manrique de Lara,No Phone Number Available
901 S Palm Drive,"901 S Palm Drive, Pharr, TX, 78577",Brian Salinas,No Phone Number Available
Dewey/Ogden,"204 E Dewey Pl, San Antonio, TX, 78212",Richard Waterhouse,512-535-4850
